corp_code,stock_code,corp_name
00341776,00000 ,모비스코람유동화전문유한회사
00362131,00000 ,아이에스피
00427492,00000 ,한실흥산
00363413,00000 ,아이티엔방송
00302829,00000 ,슈퍼데크코리아
00426758,00000 ,산은부동산제오차유동화전문유한회사
00427474,00000 ,덕화산업
00428695,00000 ,국민카드이천이의일유동화전문유한회사
00366508,00000 ,마일스톤벤처투자
00402208,00000 ,에스비아이코리아
00175021,00000 ,씨티은행
00429250,00000 ,AllianzFinanceB.V.
00425777,00000 ,동의보감유동화전문유한회사
00109125,00000 ,세화기술투자
00388810,00000 ,미래에셋프리미어혼합형펀드
00383426,00000 ,마이다스차익거래안정혼합형펀드
00146676,00000 ,아이씨켐
00338152,00000 ,소프트윈
00438902,00000 ,신하나로유동화전문유한회사
00432856,00000 ,벽산건설블루밍제일차유동화전문유한회사
00431033,00000 ,이천일아울렛제일차유동화전문유한회사
00240866,00000 ,씨마유통
00440934,00000 ,캠앤아이코리아
00440952,00000 ,제이경영컨설팅
00435598,00000 ,태거산업
00350136,00000 ,마인드텔
00350206,00000 ,엘파오벤쳐캐피탈
00268288,00000 ,심스밸리
00105846,00000 ,LGEI
00350756,00000 ,유리크레디트회사채혼합형펀드
00149497,00000 ,알파캐피탈
00264778,00000 ,유니씨앤티
00289227,00000 ,미래에셋파이오니어벤처코스닥펀드
00449184,00000 ,디에이치파트너스
00369028,00000 ,근하종합개발호텔엑스포
00152491,00000 ,코락
00445601,00000 ,터보엔지니어링
00407610,00000 ,알파엔지니어링
00146241,00000 ,명성건설
00446071,00000 ,스카이함백
00368384,00000 ,비에스그룹
00446840,00000 ,삼부이엔씨
00245791,00000 ,두앙종합건설
00449625,00000 ,신성전자
00375223,00000 ,한국기업금융자문
00411631,00000 ,고룡
00256326,00000 ,아성식품
00367330,00000 ,세원지애에이치
00371838,00000 ,남양주택건설
00246480,00000 ,이조해운
00359304,00000 ,한서화학
00415600,00000 ,대륭전자
00422910,00000 ,서울에프엔텍파트너스
00451055,00000 ,팔공산온천관광호텔
00448839,00000 ,택산개발
00234670,00000 ,동진피엠씨
00224707,00000 ,대흥정공
00193568,00000 ,신대광주택
00415080,00000 ,아프로시스템스
00415053,00000 ,화진코스메틱
00414869,00000 ,모비야
00365527,00000 ,우리켐테크
00364245,00000 ,ABC
00364005,00000 ,캐피탈아거스
00413329,00000 ,유니솔
00215222,00000 ,세화유통
00252481,00000 ,용강
00369897,00000 ,기바전자
00310855,00000 ,에프에스비티아이코리아
00370015,00000 ,디지텍
00303448,00000 ,알에이코프
00404394,00000 ,매경휴스닥
00201946,00000 ,한국이연
00304207,00000 ,한원텔레콤
00305093,00000 ,진우
00410720,00000 ,탑종합건설
00354354,00000 ,썬키스
00311049,00000 ,위슬런
00412782,00000 ,대산반도체
00426615,00000 ,네오소프트
00164061,00000 ,드림에스디
00381659,00000 ,크레디피아제십구차유동화전문
00382959,00000 ,콩코드캐피탈아시아
00118886,00000 ,에이브이씨닷컴
00374835,00000 ,케이씨알파트너스
00115700,00000 ,동성투자
00389192,00000 ,오엔씨네트웍스
00346452,00000 ,씨에스지
00420356,00000 ,하이페리온제이차유동화전문유한회사
00425528,00000 ,부산유조선
00427784,00000 ,목동우림루미아트유동화전문유한회사
00244297,00000 ,천보파이낸스
00428817,00000 ,나라펫
00425740,00000 ,하이케어시스템즈
00389086,00000 ,우리금융제일차유동화전문유한회사
00425759,00000 ,키치녹스
00426721,00000 ,에이치에스제일차유동화전문유한회사
00426651,00000 ,신드림풀유동화전문유한회사
00427951,00000 ,넥센캐피탈
00448112,00000 ,종연산업
00446655,00000 ,성환
00357111,00000 ,삼두디엔에스
00193221,00000 ,삼희산업
00407595,00000 ,아이스타뮤직
00367075,00000 ,신흥울테크
00448501,00000 ,삼양이컴
00197856,00000 ,전주코아호텔
00378017,00000 ,헬리오스기업구조조정전문회사
00207384,00000 ,동일상사
00233927,00000 ,헨켈코리아
00255372,00000 ,센텍
00246693,00000 ,태흥기업
00367932,00000 ,만적
00334341,00000 ,성신무역
00190224,00000 ,새한철강
00448291,00000 ,한림종합개발
00445391,00000 ,동방귀석
00169321,00000 ,부곡관광
00434076,00000 ,에이취.엠.에스
00205128,00000 ,서통테크놀로지
00450250,00000 ,한경섬유
00368126,00000 ,세진티앤엠
00175386,00000 ,경기교통
00205748,00000 ,강호개발
00358378,00000 ,만덕
00221409,00000 ,한국어센셜소프트웨어
00414328,00000 ,와우북
00409982,00000 ,부풍
00134149,00000 ,세우무역
00414461,00000 ,신우종합건설
00304508,00000 ,중원
00247753,00000 ,아스트로
00368816,00000 ,한국멀티넷
00366085,00000 ,넥스트미디어아이
00412302,00000 ,일성리조트
00387246,00000 ,동광산건
00265050,00000 ,유렉셀테크놀러지
00236182,00000 ,성일컴퓨텍
00296555,00000 ,엠에프씨
00327226,00000 ,얼라이언스시스템
00412852,00000 ,대한주택이앤지
00143970,00000 ,원창판지
00301404,00000 ,한국피시
00109541,00000 ,대륙공업
00404880,00000 ,디지털테크놀러지
00393858,00000 ,드림데이타
00385123,00000 ,리첸시아유동화전문유한회사
00429010,00000 ,코리아페이넷
00424963,00000 ,디더블유씨유동화전문유한회사
00425768,00000 ,티지일차유동화전문유한회사
00426749,00000 ,피앤지정보통신
00330415,00000 ,인바인
00150794,00000 ,진흥주택
00429038,00000 ,굿앤세이프
00421081,00000 ,디바이너
00361734,00000 ,케이아이티창업투자
00388768,00000 ,외환카드제사차유동화전문유한회사
00425421,00000 ,오프마이십일
00421850,00000 ,창신테크
00425315,00000 ,파워엑시스
00427580,00000 ,삼성프론티어제십이차유동화전문유한회사
00425218,00000 ,쓰리엔제이차유동화전문유한회사
00106951,00000 ,낙산관광호텔
00395661,00000 ,현지개발
00275118,00000 ,케이티비벤처벌처일호펀드
00295389,00000 ,메타텍
00389147,00000 ,골든보우창업투자
00126803,00000 ,삼아
00242341,00000 ,에스엠아이씨
00440314,00000 ,오토피아제팔차유동화전문유한회사
00440332,00000 ,니즈솔루션
00441322,00000 ,이나라카드
00440165,00000 ,히타치전선
00288884,00000 ,미래에셋드림파이오니어펀드
00148452,00000 ,GPS
00156017,00000 ,하나은행
00261045,00000 ,시스컴
00437532,00000 ,개풍주택개발
00303095,00000 ,지오스테크널러지
00438753,00000 ,"IndusAsiaPacificFund,Ltd."
00367464,00000 ,지앤텍
00201955,00000 ,금화냉동
00409849,00000 ,혜성
00131443,00000 ,서통상사
00174022,00000 ,유창섬유
00444763,00000 ,피프
00412171,00000 ,모수인터내쇼날
00232973,00000 ,동해산업
00152419,00000 ,대농중공업
00257413,00000 ,신영팩토링
00362511,00000 ,승진건설
00446743,00000 ,아워스인베스트먼트
00253055,00000 ,태흥산업개발
00448714,00000 ,마하인더스트리
00448705,00000 ,모아건설
00101716,00000 ,경북레미콘
00447876,00000 ,그루빅
00448671,00000 ,라이프건설
00217150,00000 ,대진종합건설
00164344,00000 ,해피아이
00303314,00000 ,성서
00451213,00000 ,한신공업
00407416,00000 ,오랙스정유
00178675,00000 ,이논
00367181,00000 ,예들
00413514,00000 ,가인수산
00127538,00000 ,삼원산업
00370051,00000 ,유덕건설
00415123,00000 ,크로스전자
00106012,00000 ,금성텔
00158495,00000 ,한국아프라이드매그네틱스
00299774,00000 ,스타럽스
00414911,00000 ,텔레프리
00414762,00000 ,금화도시개발
00234078,00000 ,길정종합건설
00412515,00000 ,메디링스
00151076,00000 ,창원개발
00170512,00000 ,우신레저산업
00370033,00000 ,연이산업
00406587,00000 ,다른신문
00413471,00000 ,비투올네트
00248804,00000 ,성진사
00359854,00000 ,네투스테크놀러지
00252870,00000 ,동구
00300432,00000 ,비아이캐피탈
00415938,00000 ,세아개발
00345693,00000 ,SKIMT
00426226,00000 ,일신제약
00426235,00000 ,모아에셋
00376505,00000 ,그린페이퍼텍
00427058,00000 ,원업제이차유동화전문유한회사
00427100,00000 ,두손테크피아
00427331,00000 ,유니맥코리아
00429144,00000 ,아하크레딧유동화전문유한회사
00429180,00000 ,거버너스M&A사모펀드2호
00419916,00000 ,기가솔
00421009,00000 ,모쿠스
00363796,00000 ,남양산업
00302148,00000 ,에이팩스기술투자
00426314,00000 ,에스지테크놀러지
00427146,00000 ,도이체방크아게런던
00245065,00000 ,에이에스엠엘에스씨
00427182,00000 ,얼라이언스캐피탈파트너즈
00382852,00000 ,대진산업
00362113,00000 ,하늘사랑
00220756,00000 ,씨앤씨캐피탈
